id,title,genres,runtime,release_date,vote_average,vote_count,revenue,budget
17,The Avengers,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",143.0,2012-04-25,7.4,11776,1519557910,220000000
18,Pirates of the Caribbean: On Stranger Tides,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",136.0,2011-05-14,6.4,4948,1045713802,380000000
19,Men in Black 3,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",106.0,2012-05-23,6.2,4160,624026776,225000000
20,The Hobbit: The Battle of the Five Armies,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",144.0,2014-12-10,7.1,4760,956019788,250000000
21,The Amazing Spider-Man,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",136.0,2012-06-27,6.5,6586,752215857,215000000
22,Robin Hood,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",140.0,2010-05-12,6.2,1398,310669540,200000000
23,The Hobbit: The Desolation of Smaug,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",161.0,2013-12-11,7.6,4524,958400000,250000000
24,The Golden Compass,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",113.0,2007-12-04,5.8,1303,372234864,180000000
25,King Kong,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",187.0,2005-12-14,6.6,2337,550000000,207000000
26,Titanic,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",194.0,1997-11-18,7.5,7562,1845034188,200000000
27,Captain America: Civil War,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",147.0,2016-04-27,7.1,7241,1153304495,250000000
28,Battleship,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",131.0,2012-04-11,5.5,2114,303025485,209000000
29,Jurassic World,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",124.0,2015-06-09,6.5,8662,1513528810,150000000
30,Skyfall,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",143.0,2012-10-25,6.9,7604,1108561013,200000000
31,Spider-Man 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",127.0,2004-06-25,6.7,4321,783766341,200000000
32,Iron Man 3,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",130.0,2013-04-18,6.8,8806,1215439994,200000000
33,Alice in Wonderland,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",108.0,2010-03-03,6.4,4645,1025491110,200000000
34,X-Men: The Last Stand,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",104.0,2006-05-24,6.3,3525,459359555,210000000
35,Monsters University,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",104.0,2013-06-20,7.0,3528,743559607,200000000
36,Transformers: Revenge of the Fallen,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",150.0,2009-06-19,6.0,3138,836297228,150000000
37,Transformers: Age of Extinction,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",165.0,2014-06-25,5.8,3095,1091405097,210000000
38,Oz: The Great and Powerful,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",130.0,2013-03-07,5.7,3530,491868548,200000000
39,The Amazing Spider-Man 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",142.0,2014-04-16,6.5,4179,705717432,200000000
40,TRON: Legacy,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",125.0,2010-12-10,6.3,2841,400062763,170000000
41,Cars 2,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",106.0,2011-06-11,5.8,2033,559852396,200000000
42,Green Lantern,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",114.0,2011-06-16,5.1,2487,219851172,200000000
43,Toy Story 3,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",103.0,2010-06-16,7.6,4597,1066969703,200000000
44,Terminator Salvation,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",115.0,2009-05-20,5.9,2463,371353001,200000000
45,Furious 7,"[{""id"": 28, ""name"": ""Action""}]",137.0,2015-04-01,7.3,4176,1506249360,190000000
46,World War Z,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",116.0,2013-06-20,6.7,5560,531865000,200000000
47,X-Men: Days of Future Past,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",131.0,2014-05-15,7.5,6032,747862775,250000000
48,Star Trek Into Darkness,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",132.0,2013-05-05,7.4,4418,467365246,190000000
49,Jack the Giant Slayer,"[{""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",114.0,2013-02-27,5.5,2598,197687603,195000000
50,The Great Gatsby,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",143.0,2013-05-10,7.3,3769,351040419,105000000
51,Prince of Persia: The Sands of Time,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10749, ""name"": ""Romance""}]",116.0,2010-05-19,6.2,2317,335154643,150000000
52,Pacific Rim,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",131.0,2013-07-11,6.7,4794,407602906,180000000
53,Transformers: Dark of the Moon,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",154.0,2011-06-28,6.1,3299,1123746996,195000000
54,Indiana Jones and the Kingdom of the Crystal Skull,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",122.0,2008-05-21,5.7,2495,786636033,185000000
55,The Good Dinosaur,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",93.0,2015-11-14,6.6,1736,331926147,175000000
56,Brave,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",93.0,2012-06-21,6.7,4641,538983207,185000000
57,Star Trek Beyond,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",122.0,2016-07-07,6.6,2568,343471816,185000000
58,WALL·E,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",98.0,2008-06-22,7.8,6296,521311860,180000000
59,Rush Hour 3,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",91.0,2007-08-08,6.1,783,258022233,140000000
60,2012,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",158.0,2009-10-10,5.6,4903,769653595,200000000
61,A Christmas Carol,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}]",96.0,2009-11-04,6.6,1095,325233863,200000000
62,Jupiter Ascending,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",124.0,2015-02-04,5.2,2768,183987723,176000003
63,The Legend of Tarzan,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",109.0,2016-06-29,5.5,2430,356743061,180000000
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",143.0,2005-12-07,6.7,2629,748806957,180000000
65,X-Men: Apocalypse,"[{""id"": 878, ""name"": ""Science Fiction""}]",144.0,2016-05-18,6.4,4721,543934787,178000000
66,The Dark Knight,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",152.0,2008-07-16,8.2,12002,1004558444,185000000
67,Up,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}]",96.0,2009-05-13,7.7,6870,735099082,175000000
68,Monsters vs Aliens,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",94.0,2009-03-19,6.0,1423,381509870,175000000
69,Iron Man,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",126.0,2008-04-30,7.4,8776,585174222,140000000
70,Hugo,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",126.0,2011-11-22,7.0,2141,185770160,170000000
71,Wild Wild West,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 37, ""name"": ""Western""}]",106.0,1999-06-29,5.1,1020,222104681,170000000
72,The Mummy: Tomb of the Dragon Emperor,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",112.0,2008-07-01,5.2,1387,401128639,145000000
73,Suicide Squad,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",123.0,2016-08-02,5.9,7458,745000000,175000000
74,Evan Almighty,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",96.0,2007-06-09,5.3,1151,173000000,175000000
75,Edge of Tomorrow,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",113.0,2014-05-27,7.6,4858,370541256,178000000
76,Waterworld,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",135.0,1995-07-28,5.9,992,264218220,175000000
77,G.I. Joe: The Rise of Cobra,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",118.0,2009-08-04,5.6,1962,302469017,175000000
78,Inside Out,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",94.0,2015-06-09,8.0,6560,857611174,175000000
79,The Jungle Book,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}]",106.0,2016-04-07,6.7,2892,966550600,175000000
80,Iron Man 2,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",124.0,2010-04-28,6.6,6849,623933331,200000000
81,Snow White and the Huntsman,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}]",127.0,2012-05-30,5.8,3118,396600000,170000000
82,Maleficent,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10749, ""name"": ""Romance""}]",97.0,2014-05-28,7.0,4496,758539785,180000000
83,Dawn of the Planet of the Apes,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",130.0,2014-06-26,7.3,4410,710644566,170000000
84,The Lovers,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10749, ""name"": ""Romance""}]",109.0,2015-02-13,4.8,34,0,27000000
85,47 Ronin,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",119.0,2013-12-06,5.9,1326,150962475,175000000
86,Captain America: The Winter Soldier,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",136.0,2014-03-20,7.6,5764,714766572,170000000
87,Shrek Forever After,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",93.0,2010-05-16,6.0,1959,752600867,165000000
88,Tomorrowland,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}]",130.0,2015-05-19,6.2,2846,209154322,190000000
89,Big Hero 6,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",102.0,2014-10-24,7.8,6135,652105443,165000000
90,Wreck-It Ralph,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",108.0,2012-11-01,7.1,4570,471222889,165000000
91,The Polar Express,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",100.0,2004-11-10,6.4,1474,305875730,165000000
92,Independence Day: Resurgence,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",120.0,2016-06-22,4.9,2491,389681935,165000000
93,How to Train Your Dragon,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",98.0,2010-03-05,7.5,4227,494878759,165000000
94,Terminator 3: Rise of the Machines,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",109.0,2003-07-02,5.9,2143,435000000,200000000
95,Guardians of the Galaxy,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",121.0,2014-07-30,7.9,9742,773328629,170000000
96,Interstellar,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",169.0,2014-11-05,8.1,10867,675120017,165000000
97,Inception,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 12, ""name"": ""Adventure""}]",148.0,2010-07-14,8.1,13752,825532764,160000000
98,Shin Godzilla,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]",120.0,2016-07-29,6.5,143,77000000,15000000
99,The Hobbit: An Unexpected Journey,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",169.0,2012-11-26,7.0,8297,1021103568,250000000
100,The Fast and the Furious,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",106.0,2001-06-22,6.6,3428,207283925,38000000
101,The Curious Case of Benjamin Button,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10749, ""name"": ""Romance""}]",166.0,2008-11-24,7.3,3292,333932083,150000000
102,X-Men: First Class,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",132.0,2011-05-24,7.1,5181,353624124,160000000
103,The Hunger Games: Mockingjay - Part 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",137.0,2015-11-18,6.6,3984,653428261,160000000
104,The Sorcerer's Apprentice,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",109.0,2010-07-13,5.8,1470,215283742,150000000
105,Poseidon,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",99.0,2006-05-12,5.5,583,181674817,160000000
106,Alice Through the Looking Glass,"[{""id"": 14, ""name"": ""Fantasy""}]",113.0,2016-05-25,6.5,1725,299370084,170000000
107,Shrek the Third,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",93.0,2007-05-17,6.0,2278,798958165,160000000
108,Warcraft,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",123.0,2016-05-25,6.3,2268,433677183,160000000
109,Terminator Genisys,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}]",126.0,2015-06-23,5.8,3631,440603537,155000000
110,The Chronicles of Narnia: The Voyage of the Dawn Treader,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",113.0,2010-08-13,6.2,1514,415686217,155000000
111,Pearl Harbor,"[{""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",183.0,2001-05-21,6.6,1791,449220945,140000000
112,Transformers,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}]",144.0,2007-06-27,6.6,4040,709709780,150000000
113,Alexander,"[{""id"": 10752, ""name"": ""War""}, {""id"": 36, ""name"": ""History""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",175.0,2004-11-21,5.6,927,167298192,155000000
114,Harry Potter and the Order of the Phoenix,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 9648, ""name"": ""Mystery""}]",138.0,2007-06-28,7.4,5494,938212738,150000000
115,Harry Potter and the Goblet of Fire,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",157.0,2005-11-05,7.5,5608,895921036,150000000
116,Hancock,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",92.0,2008-07-01,6.2,2961,624029371,150000000
117,I Am Legend,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",101.0,2007-12-14,6.9,4853,585349010,150000000
118,Charlie and the Chocolate Factory,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",115.0,2005-07-13,6.7,3624,474968763,150000000
119,Ratatouille,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",111.0,2007-06-22,7.5,4369,623722818,150000000
120,Batman Begins,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",140.0,2005-06-10,7.5,7359,374218673,150000000
121,Madagascar: Escape 2 Africa,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}]",89.0,2008-10-30,6.2,1810,603900354,150000000
122,Night at the Museum: Battle of the Smithsonian,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",105.0,2009-05-20,5.9,1971,413106170,150000000
123,X-Men Origins: Wolverine,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",107.0,2009-04-28,6.2,4021,373062864,150000000
